iter	Passed	Remaining
0	49	24774
1	106	26475
2	160	26563
3	196	24392
4	225	22297
5	260	21480
6	313	22065
7	325	20029
8	379	20719
9	417	20471
10	438	19472
11	457	18601
12	483	18130
13	503	17465
14	515	16654
15	566	17135
16	586	16676
17	625	16762
18	639	16177
19	657	15780
20	687	15676
21	735	15973
22	766	15891
23	794	15763
24	828	15740
25	852	15542
26	866	15173
27	897	15122
28	951	15451
29	980	15366
30	1022	15474
31	1072	15689
32	1085	15364
33	1139	15613
34	1197	15905
35	1259	16228
36	1325	16588
37	1350	16424
38	1375	16259
39	1398	16080
40	1413	15827
41	1444	15751
42	1510	16054
43	1574	16319
44	1636	16546
45	1701	16791
46	1769	17055
47	1798	16939
48	1881	17316
49	1973	17760
50	2043	17993
51	2169	18686
52	2270	19151
53	2403	19851
54	2461	19915
55	2497	19799
56	2567	19953
57	2634	20080
58	2660	19882
59	2723	19970
60	2786	20055
61	2847	20116
62	2861	19846
63	2883	19646
64	2899	19402
65	2960	19467
66	3021	19525
67	3081	19576
68	3141	19622
69	3204	19682
70	3265	19729
71	3326	19774
72	3386	19807
73	3445	19832
74	3505	19864
75	3537	19738
76	3598	19767
77	3667	19842
78	3729	19875
79	3802	19963
80	3822	19772
81	3865	19703
82	3928	19737
83	4004	19830
84	4040	19728
85	4113	19804
86	4182	19854
87	4248	19890
88	4315	19929
89	4370	19908
90	4434	19930
91	4499	19955
92	4561	19963
93	4621	19962
94	4655	19845
95	4681	19702
96	4757	19766
97	4818	19766
98	4881	19772
99	4945	19783
100	5019	19830
101	5092	19870
102	5173	19941
103	5225	19898
104	5254	19765
105	5343	19860
106	5422	19917
107	5503	19974
108	5552	19916
109	5576	19772
110	5592	19597
111	5662	19618
112	5680	19454
113	5759	19501
114	5829	19516
115	5893	19509
116	5918	19373
117	5992	19399
118	6054	19385
119	6106	19338
120	6167	19318
121	6210	19241
122	6273	19228
123	6338	19219
124	6403	19209
125	6473	19214
126	6510	19122
127	6581	19128
128	6634	19080
129	6698	19064
130	6712	18907
131	6775	18888
132	6800	18764
133	6858	18733
134	6924	18722
135	6983	18690
136	6998	18543
137	7077	18566
138	7110	18467
139	7148	18381
140	7185	18294
141	7247	18272
142	7290	18201
143	7333	18128
144	7391	18097
145	7447	18058
146	7514	18044
147	7576	18020
148	7632	17980
149	7691	17946
150	7751	17915
151	7815	17893
152	7884	17881
153	7898	17745
154	7931	17654
155	7976	17589
156	8158	17823
157	8226	17807
158	8292	17785
159	8350	17745
160	8418	17726
161	8481	17696
162	8551	17679
163	8618	17658
164	8694	17653
165	8772	17649
166	8839	17626
167	8911	17611
168	8990	17609
169	9070	17607
170	9128	17563
171	9211	17566
172	9289	17558
173	9363	17542
174	9436	17524
175	9503	17495
176	9574	17472
177	9625	17413
178	9690	17378
179	9731	17300
180	9782	17240
181	9857	17223
182	9923	17189
183	9992	17161
184	10054	17120
185	10126	17095
186	10198	17070
187	10244	17001
188	10312	16970
189	10382	16939
190	10451	16909
191	10522	16880
192	10597	16857
193	10683	16851
194	10754	16820
195	10821	16784
196	10855	16697
197	10928	16669
198	10967	16588
199	11005	16507
200	11076	16476
201	11118	16402
202	11194	16378
203	11265	16345
204	11343	16324
205	11411	16286
206	11473	16240
207	11534	16192
208	11568	16107
209	11630	16060
210	11690	16012
211	11749	15962
212	11814	15919
213	11848	15835
214	11907	15784
215	11962	15728
216	12034	15694
217	12076	15622
218	12108	15536
219	12166	15485
220	12207	15411
221	12268	15363
222	12302	15281
223	12366	15236
224	12429	15191
225	12496	15150
226	12532	15072
227	12593	15023
228	12656	14978
229	12717	14928
230	12785	14889
231	12849	14843
232	12882	14762
233	12916	14682
234	12954	14608
235	13013	14557
236	13076	14511
237	13140	14465
238	13205	14420
239	13264	14369
240	13323	14318
241	13356	14239
242	13417	14190
243	13481	14144
244	13536	14089
245	13602	14044
246	13671	14003
247	13737	13959
248	13801	13912
249	13867	13867
250	13930	13819
251	13998	13776
252	14098	13764
253	14201	13754
254	14241	13683
255	14294	13624
256	14365	13582
257	14440	13545
258	14506	13498
259	14585	13463
260	14664	13428
261	14742	13391
262	14823	13357
263	14907	13326
264	14990	13293
265	15066	13253
266	15157	13227
267	15265	13215
268	15351	13183
269	15434	13147
270	15520	13115
271	15615	13089
272	15697	13052
273	15782	13017
274	15860	12976
275	15941	12937
276	16033	12908
277	16149	12896
278	16247	12869
279	16345	12842
280	16432	12807
281	16527	12776
282	16623	12746
283	16760	12747
284	16855	12715
285	16957	12688
286	17034	12642
287	17115	12598
288	17195	12554
289	17276	12510
290	17351	12462
291	17425	12412
292	17513	12373
293	17599	12331
294	17681	12287
295	17791	12261
296	17881	12222
297	17955	12171
298	18027	12118
299	18107	12071
300	18183	12021
301	18260	11971
302	18334	11920
303	18406	11867
304	18482	11816
305	18557	11765
306	18638	11717
307	18759	11694
308	18881	11671
309	18994	11641
310	19097	11605
311	19205	11572
312	19335	11551
313	19442	11516
314	19547	11480
315	19639	11435
316	19710	11378
317	19779	11320
318	19840	11257
319	19902	11195
320	19965	11133
321	20030	11072
322	20090	11009
323	20152	10946
324	20213	10884
325	20271	10819
326	20355	10768
327	20414	10705
328	20477	10643
329	20540	10581
330	20604	10520
331	20663	10456
332	20717	10390
333	20772	10324
334	20833	10261
335	20887	10195
336	20943	10130
337	20999	10064
338	21056	10000
339	21106	9932
340	21158	9865
341	21211	9799
342	21268	9735
343	21328	9672
344	21387	9608
345	21444	9544
346	21504	9481
347	21568	9420
348	21629	9358
349	21690	9295
350	21755	9235
351	21821	9174
352	21884	9113
353	21952	9053
354	22020	8994
355	22092	8936
356	22153	8873
357	22216	8812
358	22278	8749
359	22348	8690
360	22419	8632
361	22482	8570
362	22553	8511
363	22629	8455
364	22708	8398
365	22783	8341
366	22873	8289
367	22942	8229
368	23007	8167
369	23079	8109
370	23165	8054
371	23246	7998
372	23333	7944
373	23411	7887
374	23499	7833
375	23581	7776
